N	Especie	Apendice	Categoria_nacional	UICN	Nativa_Endemica	Nombre_comun	Sinonimos	Autor	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
139	Ensifera ensifera	II	-	LC	Nativa	Colibrí pico-espada	Ornismya ensifera	(Boissonneau, 1839)										
						Calzadito de vientre												
140	Eriocnemis alinae	II	-	LC	Nativa		Ornismya alinae	(Bourcier, 1842)										
						esmeralda												
							Eriocnemis sapphiropygia											
141	Eriocnemis luciani	II	-	LC	Nativa	Calzadito de cola larga		(Bourcier, 1847)										
							Trochilus luciani											
							Eriocnemis vestitus											
142	Eriocnemis vestita	II	-	LC	Nativa	Calzadito reluciente		(Lesson, 1838)										
							Ornismya vestita											
						Picaflor de Arica,												
							Myrtis yarrellii											
143	Eulidia yarrellii	II	-	CR26	Nativa	Colibrí de Arica,		(Bourcier, 1847)										
							Trochilus yarrellii											
						Estrellita chilena												
						Colibrí de cola	Campylopterus											
144	Eupetomena macroura	II	-	LC	Nativa	ahorquillada, Colibrí	macrourusTrochilus	(Gmelin, 1788)										
						golondrina	macrourus											
						Pico-de-hoz de puntas												
145	Eutoxeres aquila	II	-	LC	Nativa		Trochilus aquila	(Bourcier, 1847)										
						blancas												
						Pico-de-hoz de cola												
146	Eutoxeres condamini	II	-	LC	Nativa		Trochilus condamini	(Bourcier, 1851)										
						canela												
147	Florisuga mellivora	II	-	LC	Nativa	Colibrí de nuca blanca	Trochilus mellivorus	(Linnaeus, 1758)										
							Trochilus hirsutus											
						Ermitaño de pecho												
148	Glaucis hirsutus	II	-	LC	Nativa		Glaucis hirsuta	(Gmelin, 1788)										
						canela												
							Threnetes grzimeki											
						Calzadito de muslo	Eriocnemis assimilis											
149	Haplophaedia assimilis	II	-	LC	Nativa			(Elliot, 1876)										
						anteado	Haplophaedia aureliae											
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
							assimilis											
								(Bourcier & Mulsant,										
150	Haplophaedia aureliae	II	-	LC	Nativa	Calzadito verdoso	Trochilus aureliae											
								1846)										
							Ornismya amethysticollis											
						Angel-de-sol de	Ornismya clarisse	(d'Orbigny & Lafresnaye,										
151	Heliangelus amethysticollis		-		Nativa													
		II		LC		garganta amatista	Heliangelus spencei	1938)										
							Heliangelus clarisse											
						Angel-de-sol chico,												
152	Heliangelus micraster	II	-	LC	Nativa			Gould, 1872										
						Colibrí lacero												
153	Heliangelus regalis	II	VU	EN	Nativa 27	Angel-de-sol real		Fitzpatrick, Willard &										
								Terborgh, 1979										
						Angel-de-sol de												
154	Heliangelus viola	II	-	LC	Nativa			(Gould, 1853)										
						garganta púrpura												
						Brillante de pecho	Trochilus aurescens											
155	Heliodoxa aurescens	II	-	LC	Nativa			(Gould, 1846)										
						castaño	Polyplancta aurescens											
156	Heliodoxa branickii	II	-	LC	Nativa28	Brillante de ala canela	Lampraster branickii	(Taczanowski, 1874)										
						Brillante de garganta	Aphantochroa gularis											
157	Heliodoxa gularis	II	-	VU	Nativa			(Gould, 1860)										
						rosada	Agapeta gularis											
						Brillante de frente												
158	Heliodoxa leadbeateri	II	-	LC	Nativa		Trochilus leadbeateri	(Bourcier, 1843)										
						violeta												
159	Heliodoxa rubinoides	II	-	LC	Nativa	Brillante de pecho	Trochilus rubinoides	(Bourcier & Mulsant,										
N.°	Especie	Ap.		UICN	N/E	Nombre común	Sinónimos	Autor										
			nacional															
						anteado		1846)										
						Brillante de garganta	Ionolaima schreibersii											
160	Heliodoxa schreibersii	II	-	LC	Nativa			(Bourcier, 1847)										
						negra	Trochilus schreibersii											
161	Heliomaster longirostris	II	-	LC	Nativa	Colibrí de pico largo	Trochilus longirostris	(Audebert & Vieillot, 1801)										
						Colibrí-hada de oreja	Heliothryx aurita											
162	Heliothryx auritus	II	-	LC	Nativa			(Gmelin, 1788)										
						negra	Trochilus auritus											
						Colibrí-hada de corona												
163	Heliothryx barroti29	II	-	LC	Nativa	púrpura, colibrí hada	Trochilus barroti	(Bourcier, 1843)										
						enmascarada												
						Zafiro de barbilla												
164	Hylocharis cyanus	II	-	LC	Nativa		Trochilus cyanus	(Vieillot, 1818)										
						blanca												
						Zafiro de garganta												
165	Hylocharis sapphirina	II	-	LC	Nativa		Trochilus sapphirinus	(Gmelin, 1788)										
						rufa												
						Colibrí de cabeza												
166	Klais guimeti	II	-	LC	Nativa		Trochilus guimeti	(Bourcier, 1843)										
						violeta												
